facet_axis,row_count,accepted_rows,needs_review_rows,legacy_seed_rows,low_confidence_rows,accepted_share,low_confidence_share
benchmark_construct_claim,447,3,444,0,112,0.006711409395973154,0.2505592841163311
benchmark_lifecycle_risk,454,6,448,0,310,0.013215859030837005,0.6828193832599119
construct_claim,511,3,508,0,176,0.005870841487279843,0.34442270058708413
context_pressure,209,2,207,0,128,0.009569377990430622,0.6124401913875598
domain,309,2,274,33,108,0.006472491909385114,0.34951456310679613
interaction_pattern,303,2,301,0,135,0.006600660066006601,0.44554455445544555
metric_type,317,4,313,0,160,0.012618296529968454,0.5047318611987381
modality,342,3,339,0,129,0.008771929824561403,0.37719298245614036
provider_construct_claim,12,0,12,0,6,0.0,0.5
task_mechanism,426,4,422,0,198,0.009389671361502348,0.4647887323943662
