Provider,Model name,release_date,release_year,resolved_benchmark_mentions,is_static_exam_share,is_static_exam_raw_mentions,is_work_simulation_share,is_work_simulation_raw_mentions,is_multimodal_or_ui_share,is_multimodal_or_ui_raw_mentions,is_specialized_domain_share,is_specialized_domain_raw_mentions
OpenAI,GPT-4,2023-03-14,2023,2,0.0,0,0.0,0,0.0,0,1.0,2
Anthropic,Claude 2,2023-07-11,2023,4,0.25,1,0.0,0,0.0,0,0.25,1
Google,gemini 1.0,2023-12-06,2023,18,0.2222222222222222,4,0.0,0,0.5,9,0.0,0
Google,Gemini 1.5,2024-02-15,2024,2,0.5,1,0.0,0,0.0,0,0.0,0
Anthropic,Claude 3,2024-03-04,2024,16,0.375,6,0.0,0,0.3125,5,0.0,0
OpenAI,GPT-4o,2024-05-13,2024,14,0.2857142857142857,4,0.0,0,0.5714285714285714,8,0.0,0
Anthropic,Claude 3.5 Sonnet,2024-06-21,2024,13,0.38461538461538464,5,0.0,0,0.38461538461538464,5,0.0,0
OpenAI,o1,2024-09-12,2024,8,0.625,5,0.0,0,0.25,2,0.0,0
OpenAI,o1-mini,2024-09-12,2024,8,0.5,4,0.125,1,0.0,0,0.0,0
Anthropic,Claude 3.5 Haiku,2024-10-23,2024,9,0.4444444444444444,4,0.3333333333333333,3,0.2222222222222222,2,0.0,0
Google,Gemini 2.0,2024-12-11,2024,14,0.3571428571428571,5,0.14285714285714285,2,0.3571428571428571,5,0.0,0
OpenAI,o3-mini,2025-01-31,2025,11,0.7272727272727273,8,0.09090909090909091,1,0.0,0,0.0,0
Anthropic,Claude 3.7 Sonnet,2025-02-25,2025,8,0.5,4,0.25,2,0.125,1,0.0,0
OpenAI,GPT-4.5,2025-02-27,2025,6,0.6666666666666666,4,0.16666666666666666,1,0.16666666666666666,1,0.0,0
Google,Gemini 2.5,2025-03-25,2025,10,0.30000000000000004,3,0.1,1,0.2,2,0.1,1
OpenAI,GPT-4.1,2025-04-14,2025,19,0.21052631578947367,4,0.21052631578947367,4,0.21052631578947367,4,0.0,0
OpenAI,o3,2025-04-16,2025,13,0.15384615384615385,2,0.3076923076923077,4,0.3076923076923077,4,0.07692307692307693,1
Anthropic,Claude 4,2025-05-23,2025,7,0.42857142857142855,3,0.42857142857142855,3,0.14285714285714285,1,0.0,0
Anthropic,Claude 4.1 (Opus),2025-08-05,2025,7,0.42857142857142855,3,0.42857142857142855,3,0.14285714285714285,1,0.0,0
OpenAI,GPT-5,2025-08-07,2025,16,0.3125,5,0.1875,3,0.25,4,0.1875,3
Anthropic,Claude 4.5 (Sonnet),2025-09-30,2025,9,0.3333333333333333,3,0.5555555555555556,5,0.2222222222222222,2,0.2222222222222222,2
Anthropic,Claude 4.5 (Haiku),2025-10-16,2025,8,0.375,3,0.5,4,0.25,2,0.125,1
Google,Gemini 3.0,2025-11-18,2025,21,0.23809523809523808,5,0.2857142857142857,6,0.2857142857142857,6,0.14285714285714285,3
Anthropic,Claude 4.5 (Opus),2025-11-24,2025,13,0.15384615384615385,2,0.6153846153846154,8,0.23076923076923078,3,0.07692307692307693,1
OpenAI,GPT-5.2,2025-12-11,2025,20,0.3,6,0.35,7,0.25,5,0.15000000000000002,3
Anthropic,Claude 4.6 (Opus),2026-02-05,2026,21,0.14285714285714285,3,0.6190476190476191,13,0.19047619047619047,4,0.3333333333333333,7
OpenAI,GPT-5.3-Codex,2026-02-05,2026,7,0.0,0,0.857142857142857,6,0.2857142857142857,2,0.14285714285714285,1
Google,Gemini 3.1 Pro,2026-02-19,2026,16,0.125,2,0.5,8,0.1875,3,0.25,4
Google,Gemini 3.1 Flash-Lite,2026-03-03,2026,11,0.2727272727272727,3,0.09090909090909091,1,0.36363636363636365,4,0.09090909090909091,1
OpenAI,GPT-5.4,2026-03-05,2026,26,0.23076923076923078,6,0.423076923076923,11,0.19230769230769232,5,0.3076923076923077,8
Anthropic,Claude 4.7 (Opus),2026-04-16,2026,31,0.12903225806451613,4,0.6451612903225805,20,0.1935483870967742,6,0.25806451612903225,8
OpenAI,GPT-5.5,2026-04-23,2026,34,0.23529411764705882,8,0.44117647058823534,15,0.14705882352941177,5,0.3235294117647059,11
