benchmark_id,benchmark_name,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain,first_date,last_date,first_providers,first_provider_count,provider_count,eligible_provider_count,provider_reach_share,total_mentions,release_count,raw_variant_count,raw_variants,provider_adoption_path,second_provider,second_provider_date,days_to_second_provider,active_span_days,time_to_50pct_mentions_days,observed_days_since_first,first_provider_is_author_affiliated,cross_provider_cascade
benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,Academia,none,Multimodal Perception,General/Commonsense,2023-12-06,2026-04-23,Google,1,3,3,1.0,25,25,2,MMMU / MMMU Pro; MMMU Pro,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,869,534,869,False,True
benchmark_swe_bench_verified,SWE-bench verified,OpenAI,OpenAI,Agentic,Coding/Engineering,2024-10-23,2026-04-16,Anthropic,1,3,3,1.0,18,18,2,SWE-bench Verified; SWE-bench verified,Anthropic (2024-10-23) -> OpenAI (2025-01-31) -> Google (2025-03-25),OpenAI,2025-01-31,100,540,288,547,False,True
benchmark_aime,AIME,Academia,none,Generative Reasoning,STEM/Math,2024-09-12,2025-11-18,OpenAI,1,3,3,1.0,15,15,1,AIME,OpenAI (2024-09-12) -> Anthropic (2024-10-23) -> Google (2025-03-25),Anthropic,2024-10-23,41,432,214,588,False,True
benchmark_gpqa,GPQA,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,2024-03-04,2025-12-11,Anthropic,1,3,3,1.0,14,14,1,GPQA,Anthropic (2024-03-04) -> OpenAI (2024-05-13) -> Google (2024-12-11),OpenAI,2024-05-13,70,647,333,780,True,True
benchmark_gpqa_diamond,GPQA Diamond,"Anthropic, Academia, Others(Cohere)",none,Generative Reasoning,STEM/Math,2024-10-23,2026-04-23,Anthropic,1,3,3,1.0,13,13,1,GPQA Diamond,Anthropic (2024-10-23) -> Google (2026-02-19) -> OpenAI (2026-03-05),Google,2026-02-19,484,547,397,547,True,True
benchmark_mmmlu,MMMLU,OpenAI,OpenAI,Generative Reasoning,General/Commonsense,2025-02-25,2026-04-16,Anthropic,1,3,3,1.0,13,13,1,MMMLU,Anthropic (2025-02-25) -> OpenAI (2025-02-27) -> Google (2025-11-18),OpenAI,2025-02-27,2,415,266,422,False,True
benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance),2025-03-25,2026-04-23,Google,1,3,3,1.0,11,11,2,HLE (Humanity's Last Exam); Humanity's Last Exam,Google (2025-03-25) -> OpenAI (2025-04-16) -> Anthropic (2026-02-05),OpenAI,2025-04-16,22,394,317,394,True,True
benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,Academia,none,Generative Reasoning,General/Commonsense,2023-12-06,2025-04-14,Google,1,3,3,1.0,10,10,1,MMLU / MMLU-Pro,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,495,281,869,False,True
benchmark_tau_2_bench,TAU-2 bench,Academia,none,Agentic,General/Commonsense,2025-08-07,2026-04-23,OpenAI,1,3,3,1.0,10,10,2,TAU-2 bench; Tau2-bench Telecom,OpenAI (2025-08-07) -> Anthropic (2025-09-30) -> Google (2025-11-18),Anthropic,2025-09-30,54,259,109,259,False,True
benchmark_math,MATH,Academia,none,Generative Reasoning,STEM/Math,2023-12-06,2025-01-31,Google,1,3,3,1.0,9,9,1,MATH,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,422,281,869,False,True
