provider,model,release_date,total_mentions,Self-affiliated frontier lab_mentions,Self-affiliated frontier lab_share,Other frontier lab-affiliated_mentions,Other frontier lab-affiliated_share,Academia_mentions,Academia_share,Independent/industry_mentions,Independent/industry_share,Unknown_mentions,Unknown_share
OpenAI,GPT-3.5,2022-11-30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthropic,Claude 1,2023-03-14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
OpenAI,GPT-4,2023-03-14,2,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0
Anthropic,Claude 2,2023-07-11,4,0,0.0,2,0.5,2,0.5,0,0.0,0,0.0
Anthropic,Claude 2.1,2023-11-21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Google,gemini 1.0,2023-12-06,18,3,0.16666666666666666,3,0.16666666666666666,10,0.5555555555555556,2,0.1111111111111111,0,0.0
Google,Gemini 1.5,2024-02-15,2,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0
Anthropic,Claude 3,2024-03-04,16,1,0.0625,5,0.3125,10,0.625,0,0.0,0,0.0
OpenAI,GPT-4o,2024-05-13,14,1,0.07142857142857142,2,0.14285714285714285,11,0.7857142857142857,0,0.0,0,0.0
Anthropic,Claude 3.5 Sonnet,2024-06-21,13,1,0.07692307692307693,5,0.38461538461538464,7,0.5384615384615384,0,0.0,0,0.0
OpenAI,o1,2024-09-12,8,0,0.0,1,0.125,6,0.75,1,0.125,0,0.0
OpenAI,o1-mini,2024-09-12,8,1,0.125,0,0.0,6,0.75,1,0.125,0,0.0
Anthropic,Claude 3.5 Haiku,2024-10-23,9,1,0.1111111111111111,2,0.2222222222222222,6,0.6666666666666666,0,0.0,0,0.0
Google,Gemini 2.0,2024-12-11,14,4,0.2857142857142857,0,0.0,8,0.5714285714285714,2,0.14285714285714285,0,0.0
OpenAI,o3-mini,2025-01-31,11,2,0.18181818181818182,1,0.09090909090909091,6,0.5454545454545454,2,0.18181818181818182,0,0.0
Anthropic,Claude 3.7 Sonnet,2025-02-25,8,1,0.125,3,0.375,4,0.5,0,0.0,0,0.0
OpenAI,GPT-4.5,2025-02-27,6,2,0.3333333333333333,0,0.0,4,0.6666666666666666,0,0.0,0,0.0
Google,Gemini 2.5,2025-03-25,10,2,0.2,2,0.2,4,0.4,2,0.2,0,0.0
OpenAI,GPT-4.1,2025-04-14,19,4,0.21052631578947367,2,0.10526315789473684,10,0.5263157894736842,3,0.15789473684210525,0,0.0
OpenAI,o3,2025-04-16,13,4,0.3076923076923077,1,0.07692307692307693,5,0.38461538461538464,3,0.23076923076923078,0,0.0
Anthropic,Claude 4,2025-05-23,7,2,0.2857142857142857,2,0.2857142857142857,3,0.42857142857142855,0,0.0,0,0.0
Anthropic,Claude 4.1 (Opus),2025-08-05,7,2,0.2857142857142857,2,0.2857142857142857,3,0.42857142857142855,0,0.0,0,0.0
OpenAI,GPT-5,2025-08-07,16,4,0.25,1,0.0625,8,0.5,3,0.1875,0,0.0
Anthropic,Claude 4.5 (Sonnet),2025-09-30,9,2,0.2222222222222222,2,0.2222222222222222,5,0.5555555555555556,0,0.0,0,0.0
Anthropic,Claude 4.5 (Haiku),2025-10-16,8,2,0.25,2,0.25,4,0.5,0,0.0,0,0.0
OpenAI,GPT-5.1,2025-11-12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Google,Gemini 3.0,2025-11-18,21,3,0.14285714285714285,4,0.19047619047619047,13,0.6190476190476191,1,0.047619047619047616,0,0.0
Anthropic,Claude 4.5 (Opus),2025-11-24,13,2,0.15384615384615385,2,0.15384615384615385,6,0.46153846153846156,3,0.23076923076923078,0,0.0
OpenAI,GPT-5.2,2025-12-11,20,8,0.4,0,0.0,9,0.45,3,0.15,0,0.0
Anthropic,Claude 4.6 (Opus),2026-02-05,21,4,0.19047619047619047,6,0.2857142857142857,7,0.3333333333333333,4,0.19047619047619047,0,0.0
OpenAI,GPT-5.3-Codex,2026-02-05,7,3,0.42857142857142855,1,0.14285714285714285,2,0.2857142857142857,1,0.14285714285714285,0,0.0
Google,Gemini 3.1 Pro,2026-02-19,16,2,0.125,4,0.25,6,0.375,4,0.25,0,0.0
Google,Gemini 3.1 Flash-Lite,2026-03-03,11,4,0.36363636363636365,1,0.09090909090909091,6,0.5454545454545454,0,0.0,0,0.0
OpenAI,GPT-5.4,2026-03-05,26,8,0.3076923076923077,1,0.038461538461538464,12,0.46153846153846156,5,0.19230769230769232,0,0.0
Anthropic,Claude 4.7 (Opus),2026-04-16,31,8,0.25806451612903225,4,0.12903225806451613,8,0.25806451612903225,11,0.3548387096774194,0,0.0
OpenAI,GPT-5.5,2026-04-23,34,9,0.2647058823529412,1,0.029411764705882353,14,0.4117647058823529,10,0.29411764705882354,0,0.0
Google,Gemini 3.5 Flash,2026-05-19,14,2,0.14285714285714285,1,0.07142857142857142,5,0.35714285714285715,6,0.42857142857142855,0,0.0
Anthropic,Claude 4.8 (Opus),2026-05-28,11,3,0.2727272727272727,0,0.0,2,0.18181818181818182,6,0.5454545454545454,0,0.0
Anthropic,Claude 5 (Fable/Mythos),2026-06-09,25,6,0.24,2,0.08,3,0.12,14,0.56,0,0.0
Anthropic,Claude 5 (Sonnet),2026-06-30,9,4,0.4444444444444444,1,0.1111111111111111,1,0.1111111111111111,3,0.3333333333333333,0,0.0
OpenAI,GPT-5.6,2026-07-09,42,16,0.38095238095238093,1,0.023809523809523808,7,0.16666666666666666,18,0.42857142857142855,0,0.0
Google,Gemini 3.5 Flash Cyber,2026-07-21,3,2,0.6666666666666666,0,0.0,1,0.3333333333333333,0,0.0,0,0.0
Google,Gemini 3.5 Flash-Lite,2026-07-21,5,1,0.2,1,0.2,1,0.2,2,0.4,0,0.0
Google,Gemini 3.6 Flash,2026-07-21,5,0,0.0,1,0.2,1,0.2,3,0.6,0,0.0
Anthropic,Claude 5 (Opus),2026-07-24,21,5,0.23809523809523808,3,0.14285714285714285,3,0.14285714285714285,10,0.47619047619047616,0,0.0
OpenAI,GPT-5.6-Cyber,2026-08-10,5,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Google,Gemini 3.7 Flash,2026-08-13,20,1,0.05,2,0.1,8,0.4,9,0.45,0,0.0
