provider,model,release_date,total_unique_benchmarks,new_global_benchmarks,new_global_share,new_to_provider_benchmarks,new_to_provider_share,self_repeat_benchmarks,self_repeat_share,already_used_by_other_provider_benchmarks,already_used_by_other_provider_share
OpenAI,GPT-3.5,2022-11-30,0,0,0.0,0,0.0,0,0.0,0,0.0
Anthropic,Claude 1,2023-03-14,0,0,0.0,0,0.0,0,0.0,0,0.0
OpenAI,GPT-4,2023-03-14,2,2,1.0,2,1.0,0,0.0,0,0.0
Anthropic,Claude 2,2023-07-11,4,3,0.75,4,1.0,0,0.0,1,0.25
Anthropic,Claude 2.1,2023-11-21,0,0,0.0,0,0.0,0,0.0,0,0.0
Google,gemini 1.0,2023-12-06,18,16,0.8888888888888888,18,1.0,0,0.0,2,0.1111111111111111
Google,Gemini 1.5,2024-02-15,2,2,1.0,2,1.0,0,0.0,0,0.0
Anthropic,Claude 3,2024-03-04,16,5,0.3125,14,0.875,2,0.125,11,0.6875
OpenAI,GPT-4o,2024-05-13,14,3,0.21428571428571427,14,1.0,0,0.0,11,0.7857142857142857
Anthropic,Claude 3.5 Sonnet,2024-06-21,13,0,0.0,0,0.0,13,1.0,13,1.0
OpenAI,o1,2024-09-12,8,3,0.375,3,0.375,5,0.625,5,0.625
OpenAI,o1-mini,2024-09-12,8,4,0.5,4,0.5,4,0.5,4,0.5
Anthropic,Claude 3.5 Haiku,2024-10-23,9,4,0.4444444444444444,5,0.5555555555555556,4,0.4444444444444444,5,0.5555555555555556
Google,Gemini 2.0,2024-12-11,14,7,0.5,9,0.6428571428571429,5,0.35714285714285715,5,0.35714285714285715
OpenAI,o3-mini,2025-01-31,11,4,0.36363636363636365,5,0.45454545454545453,6,0.5454545454545454,6,0.5454545454545454
Anthropic,Claude 3.7 Sonnet,2025-02-25,8,3,0.375,3,0.375,5,0.625,3,0.375
OpenAI,GPT-4.5,2025-02-27,6,1,0.16666666666666666,2,0.3333333333333333,4,0.6666666666666666,4,0.6666666666666666
Google,Gemini 2.5,2025-03-25,10,2,0.2,5,0.5,5,0.5,5,0.5
OpenAI,GPT-4.1,2025-04-14,19,8,0.42105263157894735,13,0.6842105263157895,6,0.3157894736842105,11,0.5789473684210527
OpenAI,o3,2025-04-16,13,1,0.07692307692307693,2,0.15384615384615385,11,0.8461538461538461,8,0.6153846153846154
Anthropic,Claude 4,2025-05-23,7,1,0.14285714285714285,1,0.14285714285714285,6,0.8571428571428571,5,0.7142857142857143
Anthropic,Claude 4.1 (Opus),2025-08-05,7,0,0.0,0,0.0,7,1.0,5,0.7142857142857143
OpenAI,GPT-5,2025-08-07,16,5,0.3125,5,0.3125,11,0.6875,6,0.375
Anthropic,Claude 4.5 (Sonnet),2025-09-30,9,1,0.1111111111111111,2,0.2222222222222222,7,0.7777777777777778,5,0.5555555555555556
Anthropic,Claude 4.5 (Haiku),2025-10-16,8,0,0.0,0,0.0,8,1.0,5,0.625
OpenAI,GPT-5.1,2025-11-12,0,0,0.0,0,0.0,0,0.0,0,0.0
Google,Gemini 3.0,2025-11-18,21,8,0.38095238095238093,13,0.6190476190476191,8,0.38095238095238093,12,0.5714285714285714
Anthropic,Claude 4.5 (Opus),2025-11-24,13,5,0.38461538461538464,7,0.5384615384615384,6,0.46153846153846156,6,0.46153846153846156
OpenAI,GPT-5.2,2025-12-11,20,5,0.25,8,0.4,12,0.6,11,0.55
Anthropic,Claude 4.6 (Opus),2026-02-05,21,6,0.2857142857142857,11,0.5238095238095238,10,0.47619047619047616,9,0.42857142857142855
OpenAI,GPT-5.3-Codex,2026-02-05,7,2,0.2857142857142857,3,0.42857142857142855,4,0.5714285714285714,2,0.2857142857142857
Google,Gemini 3.1 Pro,2026-02-19,16,3,0.1875,10,0.625,6,0.375,13,0.8125
Google,Gemini 3.1 Flash-Lite,2026-03-03,11,2,0.18181818181818182,2,0.18181818181818182,9,0.8181818181818182,6,0.5454545454545454
OpenAI,GPT-5.4,2026-03-05,26,8,0.3076923076923077,13,0.5,13,0.5,14,0.5384615384615384
Anthropic,Claude 4.7 (Opus),2026-04-16,30,11,0.36666666666666664,16,0.5333333333333333,14,0.4666666666666667,16,0.5333333333333333
OpenAI,GPT-5.5,2026-04-23,34,11,0.3235294117647059,15,0.4411764705882353,19,0.5588235294117647,19,0.5588235294117647
Google,Gemini 3.5 Flash,2026-05-19,14,3,0.21428571428571427,7,0.5,7,0.5,11,0.7857142857142857
Anthropic,Claude 4.8 (Opus),2026-05-28,11,2,0.18181818181818182,5,0.45454545454545453,6,0.5454545454545454,7,0.6363636363636364
Anthropic,Claude 5 (Fable/Mythos),2026-06-09,25,16,0.64,17,0.68,8,0.32,7,0.28
Anthropic,Claude 5 (Sonnet),2026-06-30,9,3,0.3333333333333333,3,0.3333333333333333,6,0.6666666666666666,5,0.5555555555555556
OpenAI,GPT-5.6,2026-07-09,42,27,0.6428571428571429,33,0.7857142857142857,9,0.21428571428571427,13,0.30952380952380953
Google,Gemini 3.5 Flash Cyber,2026-07-21,3,2,0.6666666666666666,3,1.0,0,0.0,1,0.3333333333333333
Google,Gemini 3.5 Flash-Lite,2026-07-21,5,0,0.0,1,0.2,4,0.8,5,1.0
Google,Gemini 3.6 Flash,2026-07-21,5,1,0.2,3,0.6,2,0.4,4,0.8
Anthropic,Claude 5 (Opus),2026-07-24,21,8,0.38095238095238093,12,0.5714285714285714,9,0.42857142857142855,9,0.42857142857142855
