facet_axis,review_status,facet_row_count,share_of_axis_rows
benchmark_construct_claim,accepted,3,0.006711409395973154
benchmark_construct_claim,needs_review,444,0.9932885906040269
benchmark_lifecycle_risk,accepted,6,0.013215859030837005
benchmark_lifecycle_risk,needs_review,448,0.986784140969163
construct_claim,accepted,3,0.005870841487279843
construct_claim,needs_review,508,0.9941291585127201
context_pressure,accepted,2,0.009569377990430622
context_pressure,needs_review,207,0.9904306220095693
domain,accepted,2,0.006472491909385114
domain,legacy_seed,33,0.10679611650485436
domain,needs_review,274,0.8867313915857605
interaction_pattern,accepted,2,0.006600660066006601
interaction_pattern,needs_review,301,0.9933993399339934
metric_type,accepted,4,0.012618296529968454
metric_type,needs_review,313,0.9873817034700315
modality,accepted,3,0.008771929824561403
modality,needs_review,339,0.9912280701754386
provider_construct_claim,needs_review,12,1.0
task_mechanism,accepted,4,0.009389671361502348
task_mechanism,needs_review,422,0.9906103286384976
