provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
OpenAI,2024,context_pressure,none,2.9285714285714284,29,3.0,0.9761904761904762
OpenAI,2024,context_pressure,long_context_supporting,0.07142857142857142,1,3.0,0.023809523809523808
OpenAI,2024,domain,STEM/Math,1.3571428571428572,13,3.0,0.4523809523809524
OpenAI,2024,domain,General/Commonsense,1.0714285714285714,12,3.0,0.35714285714285715
OpenAI,2024,domain,Coding/Engineering,0.5714285714285714,5,3.0,0.19047619047619047
OpenAI,2024,headline_task_mode,Generative Reasoning,2.0535714285714284,19,3.0,0.6845238095238094
OpenAI,2024,headline_task_mode,Multimodal Perception,0.8214285714285714,10,3.0,0.2738095238095238
OpenAI,2024,headline_task_mode,Constraint Satisfaction,0.125,1,3.0,0.041666666666666664
OpenAI,2024,interaction_pattern,static_prompt_response,3.0,30,3.0,1.0
OpenAI,2024,modality,text,1.6071428571428572,15,3.0,0.5357142857142857
OpenAI,2024,modality,code,0.5714285714285714,5,3.0,0.19047619047619047
OpenAI,2024,modality,image,0.5357142857142857,6,3.0,0.17857142857142858
OpenAI,2024,modality,document_layout,0.14285714285714285,2,3.0,0.047619047619047616
OpenAI,2024,modality,video,0.14285714285714285,2,3.0,0.047619047619047616
Google,2024,context_pressure,none,1.3571428571428572,13,2.0,0.6785714285714286
Google,2024,context_pressure,long_context_primary,0.5,1,2.0,0.25
Google,2024,context_pressure,long_context_supporting,0.14285714285714285,2,2.0,0.07142857142857142
Google,2024,domain,General/Commonsense,1.0714285714285714,9,2.0,0.5357142857142857
Google,2024,domain,STEM/Math,0.7142857142857143,4,2.0,0.35714285714285715
Google,2024,domain,Coding/Engineering,0.21428571428571427,3,2.0,0.10714285714285714
Google,2024,headline_task_mode,Generative Reasoning,1.5714285714285714,10,2.0,0.7857142857142857
Google,2024,headline_task_mode,Multimodal Perception,0.2857142857142857,4,2.0,0.14285714285714285
Google,2024,headline_task_mode,Agentic,0.07142857142857142,1,2.0,0.03571428571428571
Google,2024,headline_task_mode,Knowledge Retrieval,0.07142857142857142,1,2.0,0.03571428571428571
Google,2024,interaction_pattern,static_prompt_response,1.8571428571428572,14,2.0,0.9285714285714286
Google,2024,interaction_pattern,browser_or_web_interaction,0.07142857142857142,1,2.0,0.03571428571428571
Google,2024,interaction_pattern,multi_turn_dialogue,0.07142857142857142,1,2.0,0.03571428571428571
Google,2024,modality,text,1.4285714285714286,8,2.0,0.7142857142857143
Google,2024,modality,code,0.21428571428571427,3,2.0,0.10714285714285714
Google,2024,modality,image,0.14285714285714285,2,2.0,0.07142857142857142
Google,2024,modality,audio,0.07142857142857142,1,2.0,0.03571428571428571
Google,2024,modality,browser_ui,0.07142857142857142,1,2.0,0.03571428571428571
Google,2024,modality,video,0.07142857142857142,1,2.0,0.03571428571428571
Anthropic,2024,context_pressure,none,2.9375,37,3.0,0.9791666666666666
Anthropic,2024,context_pressure,long_context_primary,0.0625,1,3.0,0.020833333333333332
