provider,period,release_count,benchmarked_release_count,models,raw_mention_count,normalized_release_mentions,unique_benchmark_count,avg_benchmarks_per_benchmarked_release,long_context_primary_share,long_context_broad_share,long_context_broad_raw_share,agentic_share,multimodal_share,coding_share,coding_or_agentic_share,coding_and_agentic_share,share_metric_basis
OpenAI,2022-2023,2,1,GPT-3.5 | GPT-4,2,1.0,2,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,release-normalized benchmark mentions
Google,2022-2023,1,1,gemini 1.0,18,1.0,18,18.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,release-normalized benchmark mentions
Anthropic,2022-2023,3,1,Claude 1 | Claude 2 | Claude 2.1,4,1.0,4,4.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,release-normalized benchmark mentions
OpenAI,2024,3,3,GPT-4o | o1 | o1-mini,30,3.0,19,10.0,0.023809523809523808,0.023809523809523808,0.03333333333333333,0.125,0.2738095238095238,0.33928571428571425,0.33928571428571425,0.125,release-normalized benchmark mentions
Google,2024,2,2,Gemini 1.5 | Gemini 2.0,16,1.9999999999999998,16,8.0,0.35714285714285715,0.39285714285714285,0.3125,0.03571428571428572,0.42857142857142855,0.14285714285714288,0.17857142857142858,0.0,release-normalized benchmark mentions
Anthropic,2024,3,3,Claude 3 | Claude 3.5 Sonnet | Claude 3.5 Haiku,38,3.0000000000000004,21,12.666666666666666,0.02083333333333333,0.05787037037037036,0.05263157894736842,0.11111111111111109,0.32727920227920226,0.24109686609686606,0.27813390313390307,0.07407407407407406,release-normalized benchmark mentions
OpenAI,2025,7,6,o3-mini | GPT-4.5 | GPT-4.1 | o3 | GPT-5 | GPT-5.1 | GPT-5.2,85,6.0,43,14.166666666666666,0.051315789473684204,0.208701897517687,0.23529411764705882,0.32987031243610193,0.24780139451192087,0.30316423342739135,0.41926578538420634,0.21376876047928683,release-normalized benchmark mentions
Google,2025,2,2,Gemini 2.5 | Gemini 3.0,31,2.0,23,15.5,0.07380952380952381,0.21904761904761905,0.22580645161290322,0.24285714285714285,0.3404761904761905,0.319047619047619,0.41428571428571437,0.14761904761904762,release-normalized benchmark mentions
Anthropic,2025,6,6,Claude 3.7 Sonnet | Claude 4 | Claude 4.1 (Opus) | Claude 4.5 (Sonnet) | Claude 4.5 (Haiku) | Claude 4.5 (Opus),52,5.999999999999998,19,8.666666666666666,0.0,0.13344525844525845,0.1346153846153846,0.47583435083435105,0.2169566544566545,0.2982295482295483,0.47583435083435105,0.2982295482295483,release-normalized benchmark mentions
OpenAI,2026 YTD,3,3,GPT-5.3-Codex | GPT-5.4 | GPT-5.5,67,2.9999999999999996,44,22.333333333333332,0.055052790346908013,0.3360267183796596,0.2537313432835821,0.6892911010558068,0.35994397759103647,0.5377073906485671,0.7217194570135748,0.5052790346907993,release-normalized benchmark mentions
Google,2026 YTD,2,2,Gemini 3.1 Pro | Gemini 3.1 Flash-Lite,27,1.9999999999999998,22,13.5,0.07670454545454547,0.23011363636363644,0.2222222222222222,0.3579545454545455,0.36931818181818193,0.32386363636363646,0.525568181818182,0.15625000000000003,release-normalized benchmark mentions
Anthropic,2026 YTD,2,2,Claude 4.6 (Opus) | Claude 4.7 (Opus),52,1.9999999999999998,38,26.0,0.06374807987711215,0.2880184331797235,0.28846153846153844,0.6643625192012289,0.36789554531490015,0.41628264208909366,0.7442396313364056,0.3364055299539171,release-normalized benchmark mentions
