model_key,provider,model_name,release_year,static_exam_share,work_simulation_share,specialized_domain_share,resolved_benchmark_mentions
Anthropic|Claude 2|2023-07-11,Anthropic,Claude 2,2023,0.75,0.25,0.5,4
Anthropic|Claude 3.5 Haiku|2024-10-23,Anthropic,Claude 3.5 Haiku,2024,0.5555555555555556,0.4444444444444444,0.4444444444444444,9
Anthropic|Claude 3.5 Sonnet|2024-06-21,Anthropic,Claude 3.5 Sonnet,2024,0.9230769230769229,0.07692307692307693,0.23076923076923078,13
Anthropic|Claude 3.7 Sonnet|2025-02-25,Anthropic,Claude 3.7 Sonnet,2025,0.625,0.25,0.5,8
Anthropic|Claude 3|2024-03-04,Anthropic,Claude 3,2024,0.875,0.0625,0.1875,16
Anthropic|Claude 4.1 (Opus)|2025-08-05,Anthropic,Claude 4.1 (Opus),2025,0.5714285714285714,0.42857142857142855,0.7142857142857142,7
Anthropic|Claude 4.5 (Haiku)|2025-10-16,Anthropic,Claude 4.5 (Haiku),2025,0.5,0.5,0.625,8
Anthropic|Claude 4.5 (Opus)|2025-11-24,Anthropic,Claude 4.5 (Opus),2025,0.23076923076923078,0.6923076923076923,0.5384615384615385,13
Anthropic|Claude 4.5 (Sonnet)|2025-09-30,Anthropic,Claude 4.5 (Sonnet),2025,0.4444444444444444,0.5555555555555556,0.6666666666666667,9
Anthropic|Claude 4.6 (Opus)|2026-02-05,Anthropic,Claude 4.6 (Opus),2026,0.23809523809523808,0.6666666666666667,0.7142857142857144,21
Anthropic|Claude 4.7 (Opus)|2026-04-16,Anthropic,Claude 4.7 (Opus),2026,0.19999999999999998,0.7333333333333333,0.5666666666666667,30
Anthropic|Claude 4.8 (Opus)|2026-05-28,Anthropic,Claude 4.8 (Opus),2026,0.09090909090909091,0.9090909090909092,0.4545454545454546,11
Anthropic|Claude 4|2025-05-23,Anthropic,Claude 4,2025,0.5714285714285714,0.42857142857142855,0.7142857142857142,7
Anthropic|Claude 5 (Fable/Mythos)|2026-06-09,Anthropic,Claude 5 (Fable/Mythos),2026,0.04,0.72,0.44,25
Anthropic|Claude 5 (Opus)|2026-07-24,Anthropic,Claude 5 (Opus),2026,0.047619047619047616,0.7142857142857144,0.38095238095238093,21
Anthropic|Claude 5 (Sonnet)|2026-06-30,Anthropic,Claude 5 (Sonnet),2026,0.1111111111111111,0.8888888888888888,0.4444444444444444,9
Google|Gemini 1.5|2024-02-15,Google,Gemini 1.5,2024,0.5,0.0,0.0,2
Google|Gemini 2.0|2024-12-11,Google,Gemini 2.0,2024,0.5714285714285713,0.2857142857142857,0.2857142857142857,14
Google|Gemini 2.5|2025-03-25,Google,Gemini 2.5,2025,0.6,0.30000000000000004,0.30000000000000004,10
Google|Gemini 3.0|2025-11-18,Google,Gemini 3.0,2025,0.5714285714285714,0.3333333333333333,0.47619047619047616,21
Google|Gemini 3.1 Flash-Lite|2026-03-03,Google,Gemini 3.1 Flash-Lite,2026,0.8181818181818182,0.18181818181818182,0.5454545454545454,11
Google|Gemini 3.1 Pro|2026-02-19,Google,Gemini 3.1 Pro,2026,0.3125,0.625,0.5625,16
Google|Gemini 3.5 Flash Cyber|2026-07-21,Google,Gemini 3.5 Flash Cyber,2026,0.0,1.0,0.3333333333333333,3
Google|Gemini 3.5 Flash-Lite|2026-07-21,Google,Gemini 3.5 Flash-Lite,2026,0.2,0.8,0.2,5
Google|Gemini 3.5 Flash|2026-05-19,Google,Gemini 3.5 Flash,2026,0.2857142857142857,0.6428571428571428,0.4285714285714285,14
Google|Gemini 3.6 Flash|2026-07-21,Google,Gemini 3.6 Flash,2026,0.0,1.0,0.4,5
Google|gemini 1.0|2023-12-06,Google,gemini 1.0,2023,0.7222222222222222,0.1111111111111111,0.1111111111111111,18
OpenAI|GPT-4.1|2025-04-14,OpenAI,GPT-4.1,2025,0.47368421052631576,0.3157894736842105,0.2631578947368421,19
OpenAI|GPT-4.5|2025-02-27,OpenAI,GPT-4.5,2025,0.8333333333333333,0.16666666666666666,0.5,6
OpenAI|GPT-4o|2024-05-13,OpenAI,GPT-4o,2024,0.857142857142857,0.07142857142857142,0.21428571428571427,14
OpenAI|GPT-4|2023-03-14,OpenAI,GPT-4,2023,1.0,0.0,1.0,2
OpenAI|GPT-5.2|2025-12-11,OpenAI,GPT-5.2,2025,0.5,0.44999999999999996,0.5,20
OpenAI|GPT-5.3-Codex|2026-02-05,OpenAI,GPT-5.3-Codex,2026,0.0,0.9999999999999998,0.42857142857142855,7
OpenAI|GPT-5.4|2026-03-05,OpenAI,GPT-5.4,2026,0.2692307692307693,0.5384615384615385,0.5384615384615385,26
OpenAI|GPT-5.5|2026-04-23,OpenAI,GPT-5.5,2026,0.2941176470588235,0.5588235294117646,0.5588235294117647,34
OpenAI|GPT-5.6|2026-07-09,OpenAI,GPT-5.6,2026,0.09523809523809523,0.738095238095238,0.38095238095238093,42
OpenAI|GPT-5|2025-08-07,OpenAI,GPT-5,2025,0.5,0.3125,0.4375,16
OpenAI|o1-mini|2024-09-12,OpenAI,o1-mini,2024,0.5,0.375,0.5,8
OpenAI|o1|2024-09-12,OpenAI,o1,2024,0.875,0.125,0.375,8
OpenAI|o3-mini|2025-01-31,OpenAI,o3-mini,2025,0.7272727272727273,0.2727272727272727,0.2727272727272727,11
OpenAI|o3|2025-04-16,OpenAI,o3,2025,0.46153846153846156,0.46153846153846156,0.3076923076923077,13
