variant,excluded_lifecycle_risks,min_mentions,minimum_facet_confidence,coverage_conditioning,release_year,year_label,work_simulation_share,work_classification_coverage_share,work_classification_covered_mentions,canonical_release_mentions,benchmarked_release_rows
all active facets,,1,,none,2023,2023,0.12037037037037036,1.0,24,24,3
all active facets,,1,,none,2024,2024,0.1801262973137973,0.9999999999999999,84,84,8
all active facets,,1,,none,2025,2025,0.390540093782575,1.0,168,168,14
all active facets,,1,,none,2026,2026 YTD,0.7323325714318362,1.0,280,280,16
excl. private/opaque,private_or_opaque_eval,1,,none,2023,2023,0.20370370370370372,1.0,21,21,3
excl. private/opaque,private_or_opaque_eval,1,,none,2024,2024,0.17491796398046397,0.9999999999999999,81,81,8
excl. private/opaque,private_or_opaque_eval,1,,none,2025,2025,0.37607870899556,0.9999999999999999,151,151,14
excl. private/opaque,private_or_opaque_eval,1,,none,2026,2026 YTD,0.696294999243588,1.0,202,202,16
excl. single-mention,,2,,none,2023,2023,0.16666666666666666,1.0,16,16,3
excl. single-mention,,2,,none,2024,2024,0.17982867826617827,0.9999999999999999,75,75,8
excl. single-mention,,2,,none,2025,2025,0.3770946002618935,0.9999999999999999,153,153,14
excl. single-mention,,2,,none,2026,2026 YTD,0.7230282875019717,0.9999999999999999,205,205,16
excl. both,private_or_opaque_eval,2,,none,2023,2023,0.3333333333333333,1.0,14,14,2
excl. both,private_or_opaque_eval,2,,none,2024,2024,0.16792391636141635,0.9999999999999999,74,74,8
excl. both,private_or_opaque_eval,2,,none,2025,2025,0.36260958929026155,0.9999999999999999,138,138,14
excl. both,private_or_opaque_eval,2,,none,2026,2026 YTD,0.6728189345376846,1.0,151,151,16
confidence >= 0.7 lower bound,,1,0.7,none,2023,2023,0.12037037037037036,1.0,24,24,3
confidence >= 0.7 lower bound,,1,0.7,none,2024,2024,0.1801262973137973,0.9910714285714285,83,84,8
confidence >= 0.7 lower bound,,1,0.7,none,2025,2025,0.38607580806828923,0.9785332722832722,164,168,14
confidence >= 0.7 lower bound,,1,0.7,none,2026,2026 YTD,0.37672010281385276,0.5655078326493768,147,280,16
"confidence >= 0.7, complete work axes",,1,0.7,all_three_work_axes,2023,2023,0.12037037037037036,1.0,24,24,3
"confidence >= 0.7, complete work axes",,1,0.7,all_three_work_axes,2024,2024,0.1808131105006105,0.9910714285714285,83,84,8
"confidence >= 0.7, complete work axes",,1,0.7,all_three_work_axes,2025,2025,0.37939885928607736,0.9785332722832722,164,168,14
"confidence >= 0.7, complete work axes",,1,0.7,all_three_work_axes,2026,2026 YTD,0.6010903875713658,0.5655078326493768,147,280,16
